Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,571.7181396484375,575.3829995179788,560.7235600398137,571.7181396484375,113720000,0.0,0.0
2010-01-05,575.3829956054688,579.0478554500895,571.7181357608479,575.3829956054688,148765000,0.0,0.0
2010-01-06,568.05322265625,582.7126606602823,564.3883631552419,568.05322265625,95310000,0.0,0.0
2010-01-07,560.7236328125,568.0533535028595,553.3939121221406,560.7236328125,92665000,0.0,0.0
2010-01-08,564.3883056640625,564.3883056640625,553.3937282809964,564.3883056640625,79305000,0.0,0.0
2010-01-11,564.3883056640625,568.0531647917512,560.7234465363738,564.3883056640625,106620000,0.0,0.0
2010-01-12,575.3829956054688,582.7127152947104,560.7235562269855,575.3829956054688,263335000,0.0,0.0
2010-01-13,575.3829956054688,579.0478554500895,568.0532759162271,575.3829956054688,100560000,0.0,0.0
2010-01-14,575.3829956054688,582.7127152947104,571.7181357608479,575.3829956054688,59415000,0.0,0.0
2010-01-15,571.7181396484375,579.04785938752,571.7181396484375,571.7181396484375,65545000,0.0,0.0
2010-01-18,571.718071659909,582.7126499610612,571.718071659909,579.0477905273438,153080000,0.0,0.0
2010-01-19,601.037109375,601.037109375,579.0479468368902,601.037109375,296615000,0.0,0.0
2010-01-20,593.7071533203125,608.3665892047646,593.7071533203125,593.7071533203125,229800000,0.0,0.0
2010-01-21,579.0477905273438,593.7072282622132,571.718071659909,579.0477905273438,132555000,0.0,0.0
2010-01-22,579.0477905273438,579.0477905273438,560.723493358757,579.0477905273438,124145000,0.0,0.0
2010-01-25,571.7181396484375,575.3829995179788,568.0532797788962,571.7181396484375,133575000,0.0,0.0
2010-01-26,571.7181557103207,571.7181557103207,549.7289958753083,557.0587158203125,185215000,0.0,0.0
2010-01-27,553.3938598632812,560.7235798614704,553.3938598632812,553.3938598632812,107175000,0.0,0.0
2010-01-28,560.7236328125,564.3884931576797,553.3939121221406,560.7236328125,95655000,0.0,0.0
